rank,playerName,team,gamePlayed,price,totalScore,averageScore,value,img
36,Tim Kelly,Cats,7,"$668,000 ",703,100.4,15,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
37,Ricky Henderson,Hawks,7,"$689,000 ",702,100.3,14.6,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
38,Angus Brayshaw,Demons,7,"$708,000 ",702,100.3,14.2,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
39,Ben McEvoy,Hawks,7,"$686,000 ",701,100.1,14.6,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
40,Trent Dumont,Kangaroos,6,"$650,000 ",588,98,15.1,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
41,Shannon Hurn,Eagles,7,"$691,000 ",686,98,14.2,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
42,Caleb Daniel,Bulldogs,7,"$651,000 ",684,97.7,15,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
43,Touk Miller,Suns,7,"$686,000 ",683,97.6,14.2,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
44,Daniel Rich,Lions,7,"$630,000 ",677,96.7,15.4,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
45,Luke Shuey,Eagles,7,"$643,000 ",676,96.6,15,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
